id,title,price,condition,location,link
236148794635,Takamine Red Akustikgitarre 12 Saiten Palisander Griffbrett Fichte Hohlkörper,"CHF 226,80",Brandneu·Unbranded,(430),https://www.ebay.ch/itm/236148794635?itmmeta=01K7XW6RG88CAVDY95FNRX8Z4E&hash=item36fb90a50b:g:Ay4AAOSwPBNoS8Qf&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02sUl%2FHZd6JP%2BBLDDWWxGi6knfjl0Wdw5xyoYWR9vKF87662yFnHydrC98SMLMhhEwwtqZuQWBZPgU8%2FLompm8vOmNbAw7CfZRmgBumgX6uPwQWGVRB8%2BUpPLRHpQwjK3rqrGs6Uy97Vm%2FjbnrEWmjY3%2FKe02QF7ao4ts6BhIUhyC5Xc2y1i3Gmnfj6Xb2KmAtXBaAGtd5DQKC%2Fb%2FeCpDXjcwagO1Ws5UNSTlCVydYlBUF47ZFXDc%2BbXTHySuOeq2fxJilQ57x34mfJ6v6yKMHL8%7Ctkp%3ABFBMoIibvL9m
236345158701,Crocs Ghostbusters Classic Clog alle Größen Herren Unisex 211414-90H NEU mit Etikett,"CHF 90,43",Brandneu,(1996),https://www.ebay.ch/itm/236345158701?itmmeta=01K7XW6RG8B0331MMGAG2S4Z2X&hash=item370744ec2d:g:q0kAAeSwr3Bo0upl&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02ueQvqDEbV7csg7AgqwirYKGoAy%2FvzRLv9VnNgOXTc1WHbHFOqcpCKknQg9L7wqU1TVg3j9JH6PfIlQxPsYh6%2FeYtUgW6UJYPx6266n8W63lPCUx6098yDN8mJRXDxKyD%2B5nbU5JA7MVRgpVaa70mvmzuOzb%2FZbskgIQaQNI8VuYsOnY1AmHPcrfsWq6s4JhO6JuAiSNUdUY3nnewGGdU2zurG2KPJ2rcob3GA8Zz7TDmE9h%2FwWjOZfjBe7UD08hOl9%2FUndrFyFmAOF7aYN5YX1%7Ctkp%3ABFBMoIibvL9m
177299893236,OM42 Akustikgitarre E-Gitarre massive Fichtendecke Knochen Nuss Palisander Griffbrett,"CHF 292,73",Brandneu,(353),https://www.ebay.ch/itm/177299893236?itmmeta=01K7XW6RG87K9B2E8SX73QBN2M&hash=item2947e5abf4:g:6nwAAeSw1rhoiGbp&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02sqaf8yIvdnKJF9TJEREZDNypINZz53XMHUML5FBR4tz8wOhpSBKNOSwmcAMZXacJ7260x3EDTRcTmJR9np3lHCQ9OhCD3KuKsdQOnjsMqmdbk7ApHNTPpK%2BA0%2Brkf5behig0kt7JGPXBcAVjbfI6k7%2BRQiVv3DQXRmbqhHkPdh8YZYrWKf1LmS924gXBi0qict%2BVYDKWLNJJiH1Pw7VKm79IYkUIs289vv4osmLxw%2Fcg1U03OLWI93uaXP3aiiofz9sVMs3y6H4jeyqsS7jeg6%7Ctkp%3ABFBMoIibvL9m
406183387575,Matte Sunburst massive Fichte Akustikgitarre Ebenholz Griffbrett Mahagoni Korpus,"CHF 286,53",Brandneu,(39),https://www.ebay.ch/itm/406183387575?itmmeta=01K7XW6RG8RB2AVVTX3R753ZN1&hash=item5e926aa1b7:g:p6wAAeSwxUlot-er&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02sKBb49qVz4pTusIT9OkbCq1p%2FRsHRWsRR7ag60DifDn0dM0Ugsy7oBi3YxEZCIbAIYrKcOZaK3Gtwin58B%2BVgl8LFeDKAODI%2FTT3ZaRGocFlhW9cXIgeA35JhdRdS9Z8tFuoLB%2Fc2viyidJK2OneKgetKXL7gaTr8VW5SNHYP2%2Fh886fC7RHzWFS2um9UIRVKGCAvOb%2Fpdgdz9r%2BvmAKh%2BNhaSXwlCrka2Aby%2F8PXOScrSa0BX7npXntQ73NrZ11et71Tx4LNVPc3g%2BQfYuTcB%7Ctkp%3ABFBMoIibvL9m
373235456974,Anfänger Akustikgitarre Paket - Starterpaket Kit & Zubehör,"CHF 49,18bisCHF 53,14",Brandneu,(169946),https://www.ebay.ch/itm/373235456974?itmmeta=01K7XW6RG84N80S5GFZT45Q728&hash=item56e6911bce:g:tzcAAeSw6rloL04q&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02v4TkuPm8sDGGCZIweSH%2Ft1oCbSDzP%2F3ky%2F9z2eMmodlVgk9BQb9WkIGtHMKazz0yeJANE6xHO%2B4WC5jWehiwfevwULZZcfVOZNK5fpyfqE825TI7yeY6S74lKSpqy76CxscS6AHzvCwhXatk0Tvvk6NOsbF7MN20OMSz%2BfTakqkIdHCuPX%2B9KYWFzLiHqcUHpkr42Wg74Lt65FywQZ64jRsNNiVbESnR5XaszAcKDCamZ3V45NdhmTiwiTdk1nD%2FiRFPpkfzZgNJYcvl4aB1kT%7Ctkp%3ABk9SR6CIm7y_Zg&var=644121225832
388641723750,IBANEZ AEG8E - BK 27-01 - CHITARRA ACUSTICA ELETTRIFICATA,"CHF 78,59",Gebraucht·Ibanez,(37),https://www.ebay.ch/itm/388641723750?itmmeta=01K7XW6RG8BVRNHNQEGWXVWQQV&hash=item5a7cda1566:g:nIkAAeSwfb9oX6fb&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02soys8f5R9jOLttHReXrzrgYlbYfWPwv%2BzSnsTzjaFXSLmm0H3LZGUlcCbEn3%2B0wIm0nBNGQTzaE%2FlIoxQhChrY1EmNwjeODel2%2F4GES0wIy%2Bz15dzc4ByHP86Qh3Ei336AreYy5b3QTf1wEGcxCb7yRVYAkWQjoddKMvFCEgYPxtA0nNgqXe0uYjTuRXDxvPbh0P4i7NJFVJQYVZBoT3Ov8lxNSuWUiRKKA0hccnMuyA%3D%3D%7Ctkp%3ABk9SR6CIm7y_Zg
304483178724,30 Zoll Anfänger Akustikgitarrenpaket - Starterpaket Kit & Zubehör,"CHF 45,21",Brandneu,(169946),https://www.ebay.ch/itm/304483178724?itmmeta=01K7XW6RG816QPV8VHM95VAPTE&hash=item46e49c98e4:g:XegAAeSwDeVoL04U&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02sX%2BVoW%2BhpRpKu5oRBgkchKwJCq%2Fbfq7h6QsR4wJQyi4N3HgIoWLicwnR2gaC2DCHSidfNiWtsCk8yAPFsMar0%2FMNmfjv6C2V%2BxJYAVbjrNXzAqkZV1Y6H7QD2HRO4ubO71XfbIOoRXmFVC20ze5RUPaCV%2BTJbd0SsH9EGxZWv4e%2FjpboApjcHyqe7sQMli2peJdV0D3SZ8lIG4pVDN2yDrGgOvRFLTSkRm7N6rzBB24%2BTHaqfKm6f68NQkXFRMXXN2aFjh7P2TyFMQi7EVxN43%7Ctkp%3ABk9SR6CIm7y_Zg&var=603508064049
127431704457,Squier by Fender Acoustic 6-String Guitar 093-0300-021,"CHF 11,89",Gebraucht·Squier,(14768),https://www.ebay.ch/itm/127431704457?itmmeta=01K7XW6RG8GJ266N1F470AB476&hash=item1dab857f89:g:peEAAeSwoXRo7qm6&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02vG6l%2BAiZE0diN%2BFhqXIpp4DOMEEqPp85W2FGLtvpn9XFLkxrm%2FeYdQUFy7s0GT1wVFcO9nMKWv3RaWLmspDRVNFTIkFDtHHC%2Bvn3w1KrqKdhXgrb9zU1VuwYumokbOWMMYqUvpxs2q7V4bQTh%2FyOXHbkrS5Vu6NjK8c%2BbcAacUo6K%2B5r363yLOVorl7aHqjAHwcvWd4vkxnhVtSfDi1DpqGbLOKj4xcLwd59zc12mZoHjSvkm67u5OfVCFDN3KKqzGGqjR1yZjHOrS3lfwXLGo%7Ctkp%3ABk9SR6CIm7y_Zg
365931381468,Neues AngebotPortable  Guitar 6 Fret Model Wooden Practice 6 Strings Guitar Trainer Tool9224,"CHF 10,54",Brandneu·Unbranded,(230),https://www.ebay.ch/itm/365931381468?itmmeta=01K7XW6RG8C71KSBP0Z6N3K8KG&hash=item553335c2dc:g:K6sAAeSwhtpo9KXc&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02s18bYpyhxe9o2kJ%2Fk1jX9cVBFSRxOQZISFI88HoCdTH8DEqHVghmxC%2BwsnDozfWs7%2Be9JtqBO9Pr5XM2GaR0QzdSgztl8t1llBeKaGHzPJ9VxM8Tw4WnIy5ZPd5ZfzefsXEh73HIHZphRTQH9r7oWMT35lTvCpLe9mhNXF%2FtfP8%2BSYL1Yd4wcLfGp32%2BHV0%2B2AiVohPmrHAzPDUJHmFpTNxcVFIOdEblBRU0eHytK7eoINTpURPsXsmOBgwVpsufHblcdhhYtzJNt%2FuYMB%2BnYo%7Ctkp%3ABk9SR6CIm7y_Zg
116786309935,Gebrauchte Taylor 524ce Builders Edition Grand Auditorium - Kona Burst,"CHF 2.220,45",Gebraucht·Taylor,(109993),https://www.ebay.ch/itm/116786309935?itmmeta=01K7XW6RG85Z3FRN1WCEDCCN97&hash=item1b3101ab2f:g:zUEAAeSwRMJozHWz&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02syd8aiCGZFWR7qrH5%2Br042UmVwgGsFA0I758OJNvBrqNdna3i22gFjj3xUAukyA16cjoPVXoDgbOZlDt1m2HlX711hoJ5NO5lH0C%2BA9QWBOz5NGV%2B9k%2FYJKebr6ln1zAsDX4sa7RcjUvkFFBvxHosAmGJ3NXWai03g3U964a9dT%2BKK5GCpYYN4kJiqYrlPwGGDV9zH3yTC%2BF8E%2F3mZ%2FyrQxYN6CjORTdbz8CoxpnqigA%3D%3D%7Ctkp%3ABk9SR6CIm7y_Zg
177501567390,Neues AngebotAlte Gitarre Guitar Westerngitarre,"CHF 249,63",Gebraucht,(1041),https://www.ebay.ch/itm/177501567390?itmmeta=01K7XW6RG8N1456XCNPYX8Q53E&hash=item2953eaf99e:g:mNkAAeSwR05o88gQ&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02ugewGqdSSbi08hfAx09ItnSPjlhWu0zJ%2FLdPfhIKs%2Fiuuj3ju3ubgsij64oxmFHTwpXeIY%2FaxnGgJmFCQKUMxJopHSEq9S5P%2FwLdTK3DIFY04Dhw%2FzeAosehxCw16qtkMqctwU%2Flk8Rg6jad0YtACNFDRvVsNnoq%2FRGG2o8j53uFYB26TUyWdslGqWbwYhyILA59SbQiVHUzhVRIpLduEzYhK0AfKhHehZo%2BKGglmjlrdHu4z%2F%2BSyu9jkfMpgU8ALVGZKJyYyZ%2BWHmCnFLeFET%7Ctkp%3ABk9SR6KIm7y_Zg
197783295842,Neues AngebotLR Baggs M1A Aktives Magnetisches Schallloch für Akustikgitarre mit OVP.,"CHF 119,00",Gebraucht,(1456),https://www.ebay.ch/itm/197783295842?itmmeta=01K7XW6RG8CXN23W86GXQHW0AV&hash=item2e0ccd9762:g:GAAAAeSw6M9o85w5&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02udpiG5AK6C7C%2FrFsQtDGYFscltVjmaVRJtxBD3N6qR5RxvV%2BS9TcnuvkjIbwmBcGpgiI6QsrVrY1W8XEHNLvJn0hQ4TrCXf3vCZXGIKl9Pc17CXZtI%2FkYeqm%2B4tlcYANaK6L57%2F8B5pFdxgprNYws2Lka574MKab1waGVyGm5Mvyj5Dc7qVpxHMWsw%2BkX%2BefBgBoppCkw2EL%2FFAmZk1Cvt6g0o05dSqLRJT%2FgoN4u12szAAXXXB4Z%2Bny6SeGzuxslkpZA7QAfiQBULHRaO7hZE%7Ctkp%3ABk9SR6KIm7y_Zg
136468341391,Altes/ Neuheit/ Miniaturinstrument/ Schnapskoffer,"CHF 22,21",Gebraucht·Unbranded,(2412),https://www.ebay.ch/itm/136468341391?itmmeta=01K7XW6RG8F8X3213WA85DFBCH&hash=item1fc625a28f:g:i7oAAeSwtHRoyLbg&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02uB48sDO8cAx%2FXknVSZN2JPKTQNRaQMyTSurV1mwHgwlEQ7p8TjlwL1AW%2BiS%2ByH41TdYmPEzZkfUQwuTYcVmlXNvmpgUoY87iUceazJ3qRSBl%2B3n2oQCUYFznxIBtYpkOCDSN8%2B8JUCtd8q96Mi%2Bs6p6gibYryl22wVHjo%2B5rBBy%2BnKd3wCYBLhObY7TKY385MOOow1JfiAleWLlw52kmwlQ9Yejn%2F33kZUkzJ7hgFLEA%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg
326781582446,TOP Horace Bucolo Busato Gypsy Jazz Guitar Wappen Shield 40's-50's Manouche,"CHF 1.386,89",Gebraucht,(78),https://www.ebay.ch/itm/326781582446?itmmeta=01K7XW6RG86YHND44V4QA4SD76&hash=item4c15b33c6e:g:ML0AAeSww8Fozm7J&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02u7jQuOiLWkdaqrZd5NeP3sGpGFr%2BQFsmbe3k6QymtfxIVZRB4lOB%2FaeSwQkw0ZOWJskOqJoxZvfJ8sz%2BD9TVbZorYn%2FgMrcG3pMKKm3MD5PRy%2BHo%2BQW0QXgtIhy13GV149Cvwd9q5Gxxl409TqMRJ7MYVdAfQqzJm%2BrdRyPz0RNcpf4RHI%2FX1d4Tl5GxyWvpy5gIH3q3KOcGc8Q1ever5wfy%2FDwDbIyOEElaHNXeFPbBNiGZcIgCdcfnBCHYOS30eR108gq6IgEEiqD64dMZND%7Ctkp%3ABFBMooibvL9m
357769829632,1998 Tacoma Chief Akustikgitarre Made in USA,"CHF 396,64",Gebraucht·Tacoma,(3981),https://www.ebay.ch/itm/357769829632?itmmeta=01K7XW6RG92N3JVCKENC3Z9MWB&hash=item534cbe5d00:g:xp4AAeSwyHFozc7I&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02uaHG%2BmFS%2BMqBAxMcnn1gtsgDCTKqyHz3wkClrlW82ozpdFOnrIiAydwqNAqh%2FnDXj2YfGBct3pjI%2FGpS93Cnbg5OjR2UGEJHGhxxsYykX7ajE4rTGmjo%2BAgMOCRjz1oMpO56e1pkrl22t%2BMRd4vS8afHkwlUGxZF%2BXkMn3GFahwf9G2%2FHtSK5f1rYrtrgIrN2X7xM%2FUioHvaGKi2DJk3eoog%2Bx0bgUHgQ21xOjLmi8TI8TnTRYIWNJ23jqzxeXI3kEtjUj1vPdgDydqGipjzkv%7Ctkp%3ABk9SR6KIm7y_Zg
122566791904,Keelguard Megaware Bootsrumpfschutz Farbe Größe wählbar Länge 4-12 Fuß Kielschutz,"CHF 96,50bisCHF 215,29",Brandneu,(27230),https://www.ebay.ch/itm/122566791904?itmmeta=01K7XW6RG9MHNRDSC0Z2S06JKN&hash=item1c898cd2e0:g:qAAAAOSwi8VZUTgg&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02vy5DCah1KpVxGcCVpxPywfcfPLKAvaXmD7jWJ86gRc8Y450QuOM0yaDX0cgKFEImpJr8b3zD2v9aeHC1KS9LmGz25ailGswTy%2FoxlbRiv2%2FXFoBsCX%2FlvRshWG13AAMAzsrgv%2FT%2FniGlYAeR98ZwVYY%2BstLoaDbt1HDxPDHWbFGTywCyeiJKfkk7GefSzmQbggOMTIP8bnyOs8E44csLdkKJW6Xecaa6QhBGnHOI0zmQ%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg&var=422991459781
236322252808,Alvarez MD60 Herringbone Dreadnought Akustikgitarre - Natur,"CHF 514,85",Gebraucht·Alvarez,(5171),https://www.ebay.ch/itm/236322252808?itmmeta=01K7XW6RG98XYAYEWQA52Q2QPX&hash=item3705e76808:g:LDAAAeSwQ5lo2qtu&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02tvyeI64de%2FK2M%2FMGKQc5y5ZB%2BsKtE131cvex4X9plYasXUdIeZwLKHuxV5LYgtlgf7b60UBH9TFhi%2Fx7LrnSMLsoxn8DSicPoLsRnCMOplbzavWXvEuDBcqo8nWcAM1EDoQkgb0mHV%2FSorXZl3xM%2Fs%2B4GAcC5K5O4n9HutBWCVuyhWe6bjj%2FpweKjN9dXUPoGYJmGuxG%2FXsNtPLjn83HtOpbgqzpkhYWDWT52uZABp3w%3D%3D%7Ctkp%3ABk9SR6KIm7y_Zg
236328927352,Taylor 414 Akustikgitarre mit Tasche! -LL,"CHF 1.110,61",Gebraucht·Taylor,(2382),https://www.ebay.ch/itm/236328927352?itmmeta=01K7XW6RG9NBMXYA0T05SBEP2V&hash=item37064d4078:g:bcMAAeSw4-ZoyFtG&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02vORDkd%2BmS6yHJPm4qphlGVgSJBiq%2Fmg%2FtJdmWx1OYHZTsTwe9FvuKWmwCovzKRE74ZldWxmP%2Beb2Oq1yi2l67UP9Jle0i95YnIdankF%2FZoZCMk%2BJAHDo3FtuNadzk0Cqp2tWSVFkzCJgmSw4TMJxuVpAJAySh0l%2FEdmIH7sTWKr98i7bn0GQdUUt9gzk68oy0lRMa0eqyuHawLlivFADcO7z08jejcVuK5royMZOYbQy%2ByRv9DOXzgg%2BX%2BTkKRK1gwcfDU%2Fgo9BDQyvStrERy8%7Ctkp%3ABk9SR6KIm7y_Zg
